Pozo,date,bapd,bppd,bsw,mscf,pco2,temp,Na,pH,SO4,Cl,Fe,bicarb,Press,Ca,criticidad
SHS-135,7/1/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/1/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/1/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/1/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/1/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/1/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/2/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/2/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/2/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/2/2018,2177.5,1172.5,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/2/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/2/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/2/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/2/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/2/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/2/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/3/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/3/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/3/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/3/2018,2177.5,1172.5,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/3/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/3/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/3/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/3/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/3/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/3/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/4/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/4/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/4/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/4/2018,2177.5,1172.5,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/4/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/4/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/4/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/4/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/4/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/4/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/5/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/5/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/5/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/5/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/5/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/5/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/5/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/5/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/5/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/5/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/6/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/6/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/6/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/6/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/6/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/6/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/6/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/6/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/6/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/6/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/7/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/7/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/7/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/7/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/7/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/7/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/7/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/7/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/7/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/7/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/8/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/8/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/8/2018,660,164.8,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/8/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/8/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/8/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/8/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/8/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/8/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/8/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/9/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/9/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/9/2018,660,164.8,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/9/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/9/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/9/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/9/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/9/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/9/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/9/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/10/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/10/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/10/2018,660,164.8,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/10/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/10/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/10/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/10/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/10/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/10/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/10/2018,2946.36,295.8,86,194.94,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/11/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/11/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/11/2018,660,164.8,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/11/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/11/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/11/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/11/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/11/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/11/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/11/2018,2946.36,295.8,86,194.94,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/12/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/12/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/12/2018,660,164.8,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/12/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/12/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/12/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/12/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/12/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/12/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,7/12/2018,2946.36,295.8,86,194.94,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/13/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/13/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/13/2018,660,164.8,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/13/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,7/13/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,7/13/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-19,7/13/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,7/13/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,7/13/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
