Pozo,date,bppd,bapd,bsw,mscf,pres,temp,co2_frac,Cl,Na,SO4,Fe,bicarb,Ca,criticidad,mpy
AGR-30,6/15/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.331
SHS-70,6/16/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.038
AGR-30,6/16/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.416
SHS-70,6/17/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.841
AGR-30,6/17/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.19
SHS-70,6/18/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.609
AGR-30,6/18/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.842
SHS-70,6/19/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.708
AGR-30,6/19/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.418
SHS-70,6/20/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.698
AGR-30,6/20/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.505
SHS-70,6/21/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.136
AGR-30,6/21/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.066
SHS-14,6/21/2018,531.36,944.64,64,148,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.024
SHS-70,6/22/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.053
AGR-30,6/22/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.627
SHS-14,6/22/2018,531.36,944.64,64,148,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.973
SHS-70,6/23/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.51
AGR-30,6/23/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.893
SHS-14,6/23/2018,531.36,944.64,64,148,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.737
SHS-17,6/23/2018,295.8,2946.36,86,212,30,184,0.6,61100,30690,50,64,280,6320,LOW RISK,0.245
SHS-17,6/23/2018,295.8,2946.36,86,86,30,184,0.6,61100,30690,50,64,280,6320,LOW RISK,0.041
AGR-29,6/24/2018,215.16,3267.84,34,226,200,212,0.06,86300,26875,10,80,120,9640,LOW RISK,0.989
SHS-70,6/24/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.356
AGR-30,6/24/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.423
SHS-19,6/24/2018,360,2040,85,147,110,210,0.06,74000,41575.05844,25,33,210,5000,LOW RISK,0.271
SHS-14,6/24/2018,531.36,944.64,64,148,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.732
SHS-17,6/24/2018,295.8,2946.36,86,86,30,184,0.6,61100,30690,50,64,280,6320,LOW RISK,0.983
SHS-70,6/25/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.269
AGR-30,6/25/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.571
SHS-19,6/25/2018,360,2040,85,147,110,210,0.06,74000,41575.05844,25,33,210,5000,LOW RISK,0.38
SHS-14,6/25/2018,531.36,944.64,64,148,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.386
SHS-17,6/25/2018,295.8,2946.36,86,86,30,184,0.6,61100,30690,50,64,280,6320,LOW RISK,0.366
SHS-70,6/26/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.034
AGR-30,6/26/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.956
SHS-19,6/26/2018,360,2040,85,147,110,210,0.06,74000,41575.05844,25,33,210,5000,LOW RISK,0.124
SHS-14,6/26/2018,531.36,944.64,64,148,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.665
SHS-134,6/26/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.507
SHS-17,6/26/2018,295.8,2946.36,86,86,30,184,0.6,61100,30690,50,64,280,6320,LOW RISK,0.973
SHS-70,6/27/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.776
AGR-30,6/27/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.399
SHS-19,6/27/2018,360,2040,85,147,110,210,0.06,74000,41575.05844,25,33,210,5000,LOW RISK,0.892
SHS-14,6/27/2018,531.36,944.64,64,148,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.033
SHS-134,6/27/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.762
SHS-17,6/27/2018,295.8,2946.36,86,86,30,184,0.6,61100,30690,50,64,280,6320,LOW RISK,0.199
SHS-70,6/28/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.783
SHS-28,6/28/2018,165,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.754
AGR-30,6/28/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.578
SHS-19,6/28/2018,360,2040,85,147,110,210,0.06,74000,41575.05844,25,33,210,5000,LOW RISK,0.872
SHS-14,6/28/2018,531.36,944.64,64,148,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.148
SHS-134,6/28/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.223
SHS-17,6/28/2018,295.8,2946.36,86,86,30,184,0.6,61100,30690,50,64,280,6320,LOW RISK,0.5
SHS-70,6/29/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.69
SHS-28,6/29/2018,165,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.275
AGR-30,6/29/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.311
SHS-135,6/29/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.158
SHS-19,6/29/2018,360,2040,85,147,110,210,0.06,74000,41575.05844,25,33,210,5000,LOW RISK,0.747
SHS-14,6/29/2018,531.36,944.64,64,148,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.22
SHS-134,6/29/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.093
SHS-17,6/29/2018,295.8,2946.36,86,86,30,184,0.6,61100,30690,50,64,280,6320,LOW RISK,0.828
AGR-14,6/30/2018,209.4,2616.6,89.5,29,230,210,0.13,62700,32843,90,61.25,262.3,6320,LOW RISK,0.711
SHS-70,6/30/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.167
SHS-28,6/30/2018,165,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.668
AGR-30,6/30/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.514
SHS-135,6/30/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.04
SHS-19,6/30/2018,360,2040,85,147,110,210,0.06,74000,41575.05844,25,33,210,5000,LOW RISK,0.114
SHS-14,6/30/2018,531.36,944.64,64,148,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.964
SHS-134,6/30/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.606
SHS-17,6/30/2018,295.8,2946.36,86,86,30,184,0.6,61100,30690,50,64,280,6320,LOW RISK,0.597
AGR-14,7/1/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.179
SHS-70,7/1/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.142
SHS-28,7/1/2018,165,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.405
AGR-30,7/1/2018,1172.5,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.751
SHS-135,7/1/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.854
SHS-19,7/1/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.946
SHS-19,7/1/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.652
SHS-14,7/1/2018,531.36,944.64,64,148,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.517
SHS-134,7/1/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.135
SHS-17,7/1/2018,295.8,2946.36,86,86,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.48
AGR-14,7/2/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.436
SHS-70,7/2/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.196
SHS-28,7/2/2018,165,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.973
AGR-30,7/2/2018,1172.5,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.92
SHS-135,7/2/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.648
SHS-19,7/2/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.662
SHS-19,7/2/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.619
SHS-14,7/2/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.14
SHS-134,7/2/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.429
SHS-17,7/2/2018,295.8,2946.36,86,86,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.631
AGR-14,7/3/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.48
SHS-70,7/3/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.53
SHS-28,7/3/2018,165,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.245
AGR-30,7/3/2018,1172.5,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.134
SHS-135,7/3/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.631
SHS-19,7/3/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.67
SHS-19,7/3/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.746
SHS-14,7/3/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.217
SHS-134,7/3/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.77
SHS-17,7/3/2018,295.8,2946.36,86,86,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.888
AGR-14,7/4/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.584
SHS-70,7/4/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.284
SHS-28,7/4/2018,165,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.162
AGR-30,7/4/2018,1172.5,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.855
SHS-135,7/4/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.591
SHS-19,7/4/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.81
SHS-19,7/4/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.285
SHS-14,7/4/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.657
SHS-134,7/4/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.728
SHS-17,7/4/2018,295.8,2946.36,86,86,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.338
AGR-14,7/5/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.961
SHS-70,7/5/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.577
SHS-28,7/5/2018,165,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.112
AGR-30,7/5/2018,1172.15,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.12
SHS-135,7/5/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.824
SHS-19,7/5/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.625
SHS-19,7/5/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.474
SHS-14,7/5/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.951
SHS-134,7/5/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.246
SHS-17,7/5/2018,295.8,2946.36,86,86,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.363
AGR-14,7/6/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.032
SHS-70,7/6/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.381
SHS-28,7/6/2018,165,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.029
AGR-30,7/6/2018,1172.15,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.543
SHS-135,7/6/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.793
SHS-19,7/6/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.205
SHS-19,7/6/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.198
SHS-14,7/6/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.01
SHS-134,7/6/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.415
SHS-17,7/6/2018,295.8,2946.36,86,86,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.54
AGR-14,7/7/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.243
SHS-70,7/7/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.082
SHS-28,7/7/2018,165,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.212
AGR-30,7/7/2018,1172.15,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.618
SHS-135,7/7/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.864
SHS-19,7/7/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.068
SHS-19,7/7/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.386
SHS-14,7/7/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.254
SHS-134,7/7/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.932
SHS-17,7/7/2018,295.8,2946.36,86,86,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.82
AGR-14,7/8/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.555
SHS-70,7/8/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.855
SHS-28,7/8/2018,164.8,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.571
AGR-30,7/8/2018,1172.15,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.34
SHS-135,7/8/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.025
SHS-19,7/8/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.553
SHS-19,7/8/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.94
SHS-14,7/8/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.488
SHS-134,7/8/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.421
SHS-17,7/8/2018,295.8,2946.36,86,86,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.848
AGR-14,7/9/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.266
SHS-70,7/9/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.636
SHS-28,7/9/2018,164.8,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.909
AGR-30,7/9/2018,1172.15,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.322
SHS-135,7/9/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.856
SHS-19,7/9/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.888
SHS-19,7/9/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.502
SHS-14,7/9/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.716
SHS-134,7/9/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.274
SHS-17,7/9/2018,295.8,2946.36,86,86,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.831
AGR-14,7/10/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.966
SHS-70,7/10/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.998
SHS-28,7/10/2018,164.8,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.897
AGR-30,7/10/2018,1172.15,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.719
SHS-135,7/10/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.771
SHS-19,7/10/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.09
SHS-19,7/10/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.07
SHS-14,7/10/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.071
SHS-134,7/10/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.631
SHS-17,7/10/2018,295.8,2946.36,86,194.94,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.635
AGR-14,7/11/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.308
SHS-70,7/11/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.206
SHS-28,7/11/2018,164.8,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.779
AGR-30,7/11/2018,1172.15,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.637
SHS-135,7/11/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.048
SHS-19,7/11/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.224
SHS-19,7/11/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.075
SHS-14,7/11/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.063
SHS-134,7/11/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.86
SHS-17,7/11/2018,295.8,2946.36,86,194.94,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.776
AGR-14,7/12/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.901
SHS-70,7/12/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.162
SHS-28,7/12/2018,164.8,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.878
AGR-30,7/12/2018,1172.15,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.209
SHS-135,7/12/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.52
SHS-19,7/12/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.973
SHS-19,7/12/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.097
SHS-14,7/12/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.209
SHS-134,7/12/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.204
SHS-17,7/12/2018,295.8,2946.36,86,194.94,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.286
AGR-14,7/13/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.78
SHS-70,7/13/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.381
SHS-28,7/13/2018,164.8,660,80,80,110,186,0.03,41474,18006,1,57,300,6520,LOW RISK,0.207
AGR-30,7/13/2018,1172.15,2177.5,65,318,200,205,0.16,70500,36388,45,132.25,244,6880,LOW RISK,0.167
SHS-135,7/13/2018,119.2,219,60,90,120,130,0.35,18300,26875,210,53,920,1520,LOW RISK,0.387
SHS-19,7/13/2018,1021.15,549.85,35,149,110,210,0.02,74000,41575.05844,25,33,210,5000,LOW RISK,0.63
SHS-19,7/13/2018,360,2040,85,147,110,210,0.1,74000,41575.05844,25,33,210,5000,LOW RISK,0.551
SHS-14,7/13/2018,501.12,944.64,64,143,245,120,0.18,16200,9246,125,30,845,1208,LOW RISK,0.231
SHS-134,7/13/2018,319.68,1012.32,76,161,120,174,0.16,28303,12175,25,33,250,440,LOW RISK,0.607
SHS-17,7/13/2018,295.8,2946.36,86,164.53,30,184,0.79,61100,30690,50,64,280,6320,LOW RISK,0.224
AGR-14,7/14/2018,209.4,2616.6,89.5,29,230,210,0.16,62700,32843,90,61.25,262.3,6320,LOW RISK,0.484
SHS-70,7/14/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.795
