Pozo,date,bapd,bppd,bsw,mscf,pco2,temp,Na,pH,SO4,Cl,Fe,bicarb,pres,Ca,criticidad,mpy
AGR-30,6/15/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.331
SHS-70,6/16/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.038
AGR-30,6/16/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.416
SHS-70,6/17/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.841
AGR-30,6/17/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.19
SHS-70,6/18/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.609
AGR-30,6/18/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.842
SHS-70,6/19/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.708
AGR-30,6/19/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.418
SHS-70,6/20/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.698
AGR-30,6/20/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.505
SHS-70,6/21/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.136
AGR-30,6/21/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.066
SHS-14,6/21/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.024
SHS-70,6/22/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.053
AGR-30,6/22/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.627
SHS-14,6/22/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.973
SHS-70,6/23/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.51
AGR-30,6/23/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.893
SHS-14,6/23/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.737
SHS-17,6/23/2018,2946.36,295.8,86,212,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.245
SHS-17,6/23/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.041
AGR-29,6/24/2018,3267.84,215.16,34,226,11.2,212,26875,6.07395371,10,86300,80,120,200,9640,LOW RISK,0.989
SHS-70,6/24/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.356
AGR-30,6/24/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.423
SHS-19,6/24/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.271
SHS-14,6/24/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.732
SHS-17,6/24/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.983
SHS-70,6/25/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.269
AGR-30,6/25/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.571
SHS-19,6/25/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.38
SHS-14,6/25/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.386
SHS-17,6/25/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.366
SHS-70,6/26/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.034
AGR-30,6/26/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.956
SHS-19,6/26/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.124
SHS-14,6/26/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.665
SHS-134,6/26/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.507
SHS-17,6/26/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.973
SHS-70,6/27/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.776
AGR-30,6/27/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.399
SHS-19,6/27/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.892
SHS-14,6/27/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.033
SHS-134,6/27/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.762
SHS-17,6/27/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.199
SHS-70,6/28/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.783
SHS-28,6/28/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.754
AGR-30,6/28/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.578
SHS-19,6/28/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.872
SHS-14,6/28/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.148
SHS-134,6/28/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.223
SHS-17,6/28/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.5
SHS-70,6/29/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.69
SHS-28,6/29/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.275
AGR-30,6/29/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.311
SHS-135,6/29/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.158
SHS-19,6/29/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.747
SHS-14,6/29/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.22
SHS-134,6/29/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.093
SHS-17,6/29/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.828
AGR-14,6/30/2018,2616.6,209.4,89.5,29,28.8,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.711
SHS-70,6/30/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.167
SHS-28,6/30/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.668
AGR-30,6/30/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.514
SHS-135,6/30/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.04
SHS-19,6/30/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.114
SHS-14,6/30/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.964
SHS-134,6/30/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.606
SHS-17,6/30/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.597
AGR-14,7/1/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.179
SHS-70,7/1/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.142
SHS-28,7/1/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.405
AGR-30,7/1/2018,2177.5,1172.5,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.751
SHS-135,7/1/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.854
SHS-19,7/1/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.946
SHS-19,7/1/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.652
SHS-14,7/1/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.517
SHS-134,7/1/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.135
SHS-17,7/1/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.48
AGR-14,7/2/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.436
SHS-70,7/2/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.196
SHS-28,7/2/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.973
AGR-30,7/2/2018,2177.5,1172.5,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.92
SHS-135,7/2/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.648
SHS-19,7/2/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.662
SHS-19,7/2/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.619
SHS-14,7/2/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.14
SHS-134,7/2/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.429
SHS-17,7/2/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.631
AGR-14,7/3/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.48
SHS-70,7/3/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.53
SHS-28,7/3/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.245
AGR-30,7/3/2018,2177.5,1172.5,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.134
SHS-135,7/3/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.631
SHS-19,7/3/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.67
SHS-19,7/3/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.746
SHS-14,7/3/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.217
SHS-134,7/3/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.77
SHS-17,7/3/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.888
AGR-14,7/4/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.584
SHS-70,7/4/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.284
SHS-28,7/4/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.162
AGR-30,7/4/2018,2177.5,1172.5,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.855
SHS-135,7/4/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.591
SHS-19,7/4/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.81
SHS-19,7/4/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.285
SHS-14,7/4/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.657
SHS-134,7/4/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.728
SHS-17,7/4/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.338
AGR-14,7/5/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.961
SHS-70,7/5/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.577
SHS-28,7/5/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.112
AGR-30,7/5/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.12
SHS-135,7/5/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.824
SHS-19,7/5/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.625
SHS-19,7/5/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.474
SHS-14,7/5/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.951
SHS-134,7/5/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.246
SHS-17,7/5/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.363
AGR-14,7/6/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.032
SHS-70,7/6/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.381
SHS-28,7/6/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.029
AGR-30,7/6/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.543
SHS-135,7/6/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.793
SHS-19,7/6/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.205
SHS-19,7/6/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.198
SHS-14,7/6/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.01
SHS-134,7/6/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.415
SHS-17,7/6/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.54
AGR-14,7/7/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.243
SHS-70,7/7/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.082
SHS-28,7/7/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.212
AGR-30,7/7/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.618
SHS-135,7/7/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.864
SHS-19,7/7/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.068
SHS-19,7/7/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.386
SHS-14,7/7/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.254
SHS-134,7/7/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.932
SHS-17,7/7/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.82
AGR-14,7/8/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.555
SHS-70,7/8/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.855
SHS-28,7/8/2018,660,164.8,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.571
AGR-30,7/8/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.34
SHS-135,7/8/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.025
SHS-19,7/8/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.553
SHS-19,7/8/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.94
SHS-14,7/8/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.488
SHS-134,7/8/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.421
SHS-17,7/8/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.848
AGR-14,7/9/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.266
SHS-70,7/9/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.636
SHS-28,7/9/2018,660,164.8,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.909
AGR-30,7/9/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.322
SHS-135,7/9/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.856
SHS-19,7/9/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.888
SHS-19,7/9/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.502
SHS-14,7/9/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.716
SHS-134,7/9/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.274
SHS-17,7/9/2018,2946.36,295.8,86,86,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.831
AGR-14,7/10/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.966
SHS-70,7/10/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.998
SHS-28,7/10/2018,660,164.8,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.897
AGR-30,7/10/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.719
SHS-135,7/10/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.771
SHS-19,7/10/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.09
SHS-19,7/10/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.07
SHS-14,7/10/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.071
SHS-134,7/10/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.631
SHS-17,7/10/2018,2946.36,295.8,86,194.94,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.635
AGR-14,7/11/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.308
SHS-70,7/11/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.206
SHS-28,7/11/2018,660,164.8,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.779
AGR-30,7/11/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.637
SHS-135,7/11/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.048
SHS-19,7/11/2018,549.85,1021.15,35,149,2.3,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.224
SHS-19,7/11/2018,2040,360,85,147,11.2,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK,0.075
SHS-14,7/11/2018,944.64,501.12,64,143,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK,0.063
SHS-134,7/11/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK,0.86
SHS-17,7/11/2018,2946.36,295.8,86,194.94,23.7,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK,0.776
AGR-14,7/12/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK,0.901
SHS-70,7/12/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK,0.162
SHS-28,7/12/2018,660,164.8,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK,0.878
AGR-30,7/12/2018,2177.5,1172.15,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK,0.209
SHS-135,7/12/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK,0.52
